EXP;PROJECT;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2
1;apache_kafka_measures;10C3;167.6883656024933;72.16778100333781;0.1593926429748535;0.005741750920450468;3293.7473335597824;3648.994956529155;6.413317648233954;-9.202351294473516
1;apache_kafka_measures;20C3;159.6388687610626;64.60927622460802;0.1600052833557129;0.0159027704625108;2387.0292782738093;2924.161004625482;4.561008884975113;-1.2215273034476577
1;apache_kafka_measures;40C3;130.2602952003479;48.75255459709207;0.15483713150024414;0.005432461281969053;3746.9371527777776;4193.746409387193;6.827136012794794;-23.33286516466803
2;apache_kafka_measures;1C3;176.14933915138243;76.69402611929455;0.15243821144104003;0.0036703004365078;2424.018798828125;3007.8066023653164;5.0066537570088485;-6.682614422123322
2;apache_kafka_measures;5C3;171.12493357658386;68.33497752158794;0.16286821365356446;0.010574718078945666;3210.974201766304;3863.4346357033974;6.619386199864704;-6.914992424768554
2;apache_kafka_measures;10C3;154.44997549057007;67.87445026628902;0.15034518241882325;0.014786516960250734;3426.857523777174;3787.6531717569137;7.078653172043888;-10.981675736371715
2;apache_kafka_measures;20C3;165.66775546073913;72.70044394413978;0.17392878532409667;0.01793051764694868;3443.3669642857144;3904.611250449684;6.439992257167491;-3.3392963595922622
2;apache_kafka_measures;40C3;127.95491290092468;51.871529244169494;0.16309871673583984;0.01111688877960257;4187.8674913194445;4619.689548718385;7.731050725248025;-34.96909427754561
3;apache_kafka_measures;1C3;166.79601378440856;75.47275890752854;0.16658935546875;0.01507933278249907;2880.770100911458;3351.2464685778045;6.121005441969408;-6.780599368481444
3;apache_kafka_measures;5C3;174.6321170806885;68.95277810669617;0.15592007637023925;0.006884987211476652;2536.6541779891304;3098.04424146603;5.196677337863554;-6.422344418487915
3;apache_kafka_measures;10C3;176.33835597038268;76.51545506425278;0.18594532012939452;0.04879119634537883;3150.3983865489126;3491.8455936232313;6.2745744136075015;-5.7049674316134595
3;apache_kafka_measures;20C3;163.88987798690795;71.5871556233062;0.15491604804992676;0.007289104457776956;2735.4404017857146;3187.9405871065314;5.385157638228072;-1.8420884273727736
