Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
wro4j;LogistRegression;4;model1;ADA;0.7601588717;0.7173245096;0.7206405694;0.7168165713;0.7187285703
wro4j;LogistRegression;4;model1;SMOTE;0.7761284948;0.7388324273;0.6797153025;0.7478877078;0.7138015052
wro4j;LogistRegression;4;model1;NONE;0.7768185526;0.7397778303;0.6779359431;0.749250477;0.71359321
wro4j;MLP;4;model1;NONE;0.8892985383;0.9014417395;0.4110320285;0.9765603707;0.6937961996
wro4j;RandomForest;4;model1;NONE;0.8896690271;0.9054597022;0.371886121;0.98718997;0.6795380455
pdfbox;RandomForest;4;model1;ADA;0.9347363273;0.9352461587;0.6911142454;0.965778797;0.8284465212
pdfbox;RandomForest;4;model1;SMOTE;0.935017067;0.9356381311;0.6889985896;0.9664843888;0.8277414892
pdfbox;MLP;4;model1;ADA;0.9108113276;0.9058482283;0.7172073343;0.9294408185;0.8233240764
pdfbox;DT;4;model1;ADA;0.9202923128;0.9179993728;0.7002820874;0.9452284354;0.8227552614
pdfbox;MLP;4;model1;ROS;0.9221291346;0.9208215742;0.6833568406;0.950520374;0.8169386073
pdfbox;MLP;4;model1;SMOTE;0.9178519214;0.9155691439;0.6868829337;0.9441700476;0.8155264907
pdfbox;RandomForest;4;model1;ROS;0.9314880804;0.9333646911;0.6403385049;0.9700123479;0.8051754264
pdfbox;DT;4;model1;ROS;0.923278044;0.923408592;0.6516220028;0.9573998942;0.8045109485
pdfbox;DT;4;model1;SMOTE;0.8822306171;0.8698651615;0.7108603667;0.8897512789;0.8003058228
pdfbox;MLP;4;model1;NONE;0.930739535;0.9332862966;0.6205923836;0.9723937202;0.7964930519
pdfbox;DT;4;model1;NONE;0.9230591983;0.9248196927;0.6114245416;0.9640148174;0.7877196795
pdfbox;RandomForest;4;model1;NONE;0.9297072627;0.9361868924;0.5289139633;0.9871229494;0.7580184564
pdfbox;LogistRegression;4;model1;SMOTE;0.7811134691;0.7340075259;0.7722143865;0.7292291409;0.7507217637
pdfbox;LogistRegression;4;model1;ROS;0.7825478895;0.7359673879;0.7672778561;0.7320515082;0.7496646822
pdfbox;LogistRegression;4;model1;ADA;0.7729939982;0.723267482;0.7834978843;0.7157346975;0.7496162909
pdfbox;LogistRegression;4;model1;NONE;0.7833320905;0.7372216996;0.754583921;0.7350502734;0.7448170972
junit4;RandomForest;4;model1;SMOTE;0.9741989122;0.9738625363;0.7757009346;0.9846860643;0.8801934994
junit4;RandomForest;4;model1;ADA;0.9707409388;0.9699903195;0.7663551402;0.9811128127;0.8737339764
junit4;MLP;4;model1;SMOTE;0.9616939793;0.958857696;0.7757009346;0.9688616641;0.8722812993
junit4;LogistRegression;4;model1;SMOTE;0.914310316;0.8915779284;0.8411214953;0.8943338438;0.8677276696
junit4;DT;4;model1;SMOTE;0.9638990161;0.9622458858;0.738317757;0.9744767739;0.8563972654
junit4;LogistRegression;4;model1;ADA;0.9169973556;0.8964181994;0.7943925234;0.9019908116;0.8481916675
